id,sentiment
"8876_1",0.21
"7519_9",0.73
"12456_8",0.67
"9514_8",0.69
"8680_8",0.47
"12402_10",0.53
"362_2",0.32
"9825_7",0.62
"2913_3",0.52
"7164_8",0.6
"11177_7",0.77
"5707_10",0.86
"8103_10",0.79
"6289_1",0.33
"11754_1",0.36
"11640_10",0.43
"9933_7",0.66
"185_10",0.68
"242_10",0.86
"9369_8",0.81
"7453_10",0.51
"7514_7",0.45
"10860_2",0.17
"8663_8",0.51
"9108_1",0.26
"7941_1",0.2
"10116_1",0.01
"9841_4",0.6
"4512_9",0.76
"4853_2",0.33
"2664_4",0.55
"9966_10",0.76
"5167_2",0.21
"3894_2",0.01
"3929_8",0.5
"7165_10",0.72
"5451_8",0.42
"2947_4",0.66
"4611_10",0.86
"5807_1",0.25
"9464_8",0.64
"3124_10",0.8
"2705_4",0.7
"12187_8",0.68
"12319_10",0.85
"9874_3",0.16
"3406_4",0.43
"2327_10",0.65
"605_10",0.68
"8080_4",0.27
"3074_10",0.88
"2499_3",0.22
"1013_1",0.3
"11535_1",0.22
"4118_7",0.6
"10492_8",0.71
"2129_4",0.31
"9814_10",0.44
"10671_9",0.46
"5980_10",0.76
"2755_2",0.43
"5461_2",0.5
"11979_1",0.52
"8810_1",0.13
"852_7",0.85
"10961_4",0.23
"7436_4",0.25
"11281_3",0.65
"4208_3",0.3
"8213_10",0.54
"9851_2",0.55
"4713_7",0.63
"9528_1",0.71
"3595_10",0.94
"5785_3",0.59
"10370_3",0.29
"1980_3",0.29
"8800_4",0.68
"4437_3",0.15
"28_3",0.64
"12171_1",0.45
"9359_3",0.16
"3831_9",0.87
"10962_7",0.87
"1500_9",0.64
"11470_10",0.74
"11843_3",0.18
"11200_4",0.59
"1067_1",0.33
"3333_1",0.21
"4487_4",0.71
"6428_1",0.16
"575_7",0.38
"10904_9",0.79
"11821_2",0.37
"11605_1",0.55
"1111_7",0.76
"10295_1",0.4
"1146_4",0.49
"2405_9",0.51
"11081_10",0.49
"2201_10",0.87
"4844_1",0.09
"11007_8",0.74
"6535_7",0.57
"2653_4",0.37
"8245_10",0.69
"9951_8",0.64
"6133_8",0.41
"10006_2",0.18
"7350_1",0.49
"4509_9",0.86
"948_1",0.39
"3987_1",0.56
"2947_10",0.52
"6041_3",0.0
"2946_1",0.17
"11967_4",0.21
"1185_10",0.6
"10323_2",0.56
"11706_2",0.1
"3663_1",0.13
"5602_10",0.92
"4870_10",0.69
"1994_1",0.19
"10807_7",0.85
"6871_3",0.72
"1175_2",0.12
"10919_7",0.69
"8127_10",0.56
"12497_4",0.61
"3274_1",0.57
"2568_3",0.43
"840_2",0.14
"5626_10",0.72
"7561_10",0.96
"4600_3",0.32
"3324_9",0.57
"8899_7",0.79
"5592_8",0.68
"12483_4",0.07
"7874_1",0.03
"5878_10",0.73
"4303_9",0.56
"9421_1",0.26
"10269_4",0.52
"10615_2",0.3
"2634_10",0.74
"7522_1",0.16
"9289_10",0.54
"4636_10",0.52
"1241_7",0.5
"9458_9",0.5
"11690_10",0.8
"7176_4",0.35
"6212_10",0.83
"6319_1",0.27
"5229_3",0.36
"466_9",0.79
"8693_2",0.63
"2952_10",0.72
"1128_1",0.44
"3975_10",0.52
"11365_10",0.68
"2074_9",0.51
"9768_10",0.84
"4895_1",0.43
"5726_10",0.72
"9993_10",0.75
"11319_2",0.74
"10561_2",0.72
"5455_8",0.66
"10684_3",0.52
"3652_3",0.66
"7825_1",0.44
"8806_1",0.38
"275_10",0.58
"2246_1",0.03
"11968_2",0.03
"2528_1",0.57
"8491_8",0.8
"13_1",0.6
"4530_8",0.71
"5207_3",0.06
"11648_10",0.44
"8260_1",0.4
"10730_10",0.69
"10402_3",0.47
"8077_1",0.14
"8598_8",0.68
"2809_3",0.3
"12490_10",0.86
"1447_9",0.73
"1605_3",0.36
"2311_4",0.14
"3235_9",0.8
"5725_10",0.7
"9025_10",0.74
"6049_9",0.56
"4803_10",0.9
"191_9",0.93
"420_3",0.5
"5238_2",0.33
"1280_9",0.82
"9408_4",0.39
"819_1",0.2
"1656_4",0.28
"9964_3",0.51
"10404_4",0.51
"12369_10",0.77
"6423_1",0.29
"9942_8",0.34
"1519_1",0.36
"100_10",0.75
"3216_10",0.68
"3909_10",0.37
"5034_7",0.9
"14_8",0.85
"5891_3",0.21
"8496_10",0.92
"7429_1",0.05
"9457_1",0.3
"9602_8",0.65
"4198_1",0.16
"154_2",0.42
"5070_2",0.33
"4207_8",0.65
"7758_8",0.53
"4439_9",0.92
"12042_1",0.01
"7244_1",0.01
"6854_1",0.38
"11932_10",0.5
"4151_10",0.59
"7265_1",0.39
"10272_7",0.9
"4256_4",0.49
"1225_7",0.36
"956_10",0.87
"6389_2",0.37
"1365_4",0.34
"4752_7",0.47
"276_10",0.93
"8766_9",0.79
"11225_10",0.66
"6920_1",0.23
"11536_1",0.01
"1923_9",0.88
"11460_10",0.62
"10054_7",0.62
"10845_1",0.01
"10231_4",0.5
"9430_8",0.69
"3226_2",0.23
"4298_3",0.21
"10635_4",0.66
"10567_4",0.28
"5460_10",0.64
"7310_7",0.78
"10330_2",0.05
"5151_9",0.9
"11_3",0.78
"1448_8",0.52
"10130_8",0.72
"2199_3",0.03
"1761_10",0.82
"2782_1",0.14
"7618_10",0.74
"85_10",0.46
"5730_3",0.43
"3641_1",0.35
"8190_9",0.87
"9533_10",0.95
"9508_1",0.31
"237_8",0.76
"3981_7",0.41
"7194_9",0.57
"10584_8",0.39
"248_2",0.04
"8358_4",0.22
"1218_1",0.22
"4191_10",0.16
"3090_8",0.9
"11923_2",0.33
"1640_8",0.7
"9972_3",0.28
"11818_4",0.75
"4350_10",0.89
"877_10",0.4
"10017_8",0.56
"7975_10",0.88
"8436_1",0.2
"6024_7",0.52
"3112_1",0.13
"951_10",0.59
"1622_1",0.26
"191_3",0.65
"5669_1",0.13
"1891_4",0.41
"12173_9",0.53
"7887_7",0.83
"3256_10",0.22
"5419_1",0.19
"7635_1",0.2
"8297_2",0.3
"7137_8",0.49
"7562_3",0.41
"9944_1",0.21
"4288_1",0.11
"8087_1",0.28
"4771_10",0.74
"10482_10",0.88
"5324_10",0.76
"3080_1",0.43
"10923_7",0.69
"1753_7",0.64
"317_10",0.55
"12474_8",0.69
"773_8",0.87
"388_1",0.42
"12141_2",0.45
"5667_1",0.7
"1071_9",0.66
"2897_10",0.8
"9481_4",0.43
"12025_1",0.14
"8879_7",0.44
"5683_1",0.12
"7026_1",0.2
"2439_1",0.3
"3631_7",0.63
"1650_9",0.44
"5378_7",0.88
"9745_1",0.1
"11563_8",0.61
"299_8",0.84
"9471_2",0.33
"1866_1",0.43
"2639_4",0.32
"5122_1",0.34
"12341_7",0.57
"2936_8",0.67
"8647_10",0.68
"4255_9",0.69
"7262_8",0.46
"8413_10",0.61
"10080_1",0.28
"3973_1",0.61
"8752_9",0.84
"4018_2",0.37
"7669_1",0.21
"10421_4",0.36
"7854_8",0.67
"162_8",0.52
"11614_9",0.41
"11343_8",0.7
"1708_7",0.35
"7115_4",0.39
"10498_10",0.43
"2944_8",0.69
"10474_3",0.39
"1263_1",0.28
"1693_4",0.89
"9600_9",0.37
"11173_2",0.29
"3961_2",0.55
"8011_1",0.55
"7386_8",0.46
"8787_8",0.78
"12349_9",0.68
"1776_4",0.55
"5885_4",0.78
"220_4",0.26
"5547_8",0.97
"2853_1",0.39
"2157_2",0.23
"11667_2",0.26
"194_7",0.8
"1633_1",0.02
"6897_2",0.23
"11568_2",0.31
"9219_1",0.13
"477_8",0.72
"8980_3",0.51
"4612_10",0.63
"8030_10",0.83
"1846_8",0.93
"2786_8",0.63
"2634_1",0.4
"3110_8",0.66
"11587_8",0.75
"11262_8",0.33
"5680_7",0.22
"4583_4",0.58
"1451_1",0.12
"4244_4",0.44
"6176_4",0.08
"8851_10",0.7
"908_9",0.8
"7494_9",0.08
"8061_3",0.35
"789_1",0.24
"2374_7",0.52
"11225_3",0.23
"4467_4",0.22
"8516_10",0.48
"4121_10",0.91
"10267_7",0.4
"6040_8",0.57
"8338_7",0.66
"2903_7",0.9
"6662_9",0.96
"5333_10",0.73
"7470_4",0.21
"8813_1",0.29
"4514_3",0.67
"9584_7",0.38
"11706_8",0.78
"11538_8",0.51
"4210_1",0.1
"8984_1",0.16
"3431_4",0.19
"4973_10",0.85
"12260_1",0.13
"4267_10",0.73
"9906_9",0.92
"670_7",0.76
"6270_3",0.02
"5164_4",0.31
"9741_2",0.08
"3761_8",0.5
"2651_2",0.37
"7448_10",0.63
"7184_9",0.91
"1313_9",0.84
"10654_8",0.76
"7151_1",0.04
"2320_10",0.31
"12033_7",0.41
"6429_1",0.04
"1420_4",0.63
"3002_7",0.59
"1299_1",0.37
"7897_9",0.83
"1529_4",0.08
"9760_2",0.6
"11318_1",0.36
"2217_3",0.16
"11641_2",0.29
"7238_10",0.69
"7710_8",0.67
"12011_8",0.67
"4495_7",0.9
"11144_4",0.68
"5625_2",0.09
"2926_7",0.41
"8538_8",0.63
"8875_10",0.54
"10881_10",0.69
"1662_7",0.66
"4560_9",0.77
"6714_4",0.26
"9059_10",0.75
"6631_10",0.76
"8520_1",0.35
"918_4",0.6
"3102_10",0.46
"3611_2",0.16
"8434_10",0.79
"681_7",0.8
"7386_4",0.07
"7566_9",0.15
"10110_10",0.69
"10486_10",0.78
"1492_3",0.46
"11823_1",0.38
"2331_9",0.68
"2200_2",0.07
"9547_1",0.15
"785_2",0.13
"5101_4",0.3
"5657_10",0.68
"6902_7",0.51
"1490_9",0.64
"7148_9",0.75
"7387_8",0.56
"8277_9",0.83
"6912_7",0.87
"170_2",0.76
"7702_10",0.83
"4393_3",0.26
"2608_3",0.64
"4931_8",0.88
"10589_10",0.47
"8623_4",0.34
"6057_2",0.34
"2704_9",0.84
"1790_2",0.24
"12370_1",0.05
"159_1",0.07
"343_9",0.98
"2128_9",0.76
"11181_8",0.61
"11775_10",0.59
"3514_10",0.67
"6993_2",0.02
"2866_9",0.34
"1000_9",0.86
"11772_7",0.46
"3355_9",0.51
"8519_8",0.6
"7879_3",0.19
"4332_10",0.51
"5403_1",0.1
"1514_7",0.21
"7904_1",0.05
"10550_2",0.53
"11442_10",0.81
"2821_3",0.38
"5766_1",0.02
"8061_9",0.84
"2166_1",0.04
"6206_1",0.18
"11124_2",0.11
"7625_10",0.66
"90_9",0.63
"7959_10",0.74
"7029_10",0.89
"779_8",0.98
"1101_4",0.23
"11189_4",0.47
"9790_4",0.41
"10861_1",0.07
"5902_2",0.23
"9545_10",0.31
"3730_1",0.1
"4951_9",0.49
"3295_1",0.33
"9495_2",0.6
"2876_1",0.52
"2796_1",0.19
"10338_3",0.17
"10913_7",0.43
"4685_2",0.0
"11586_1",0.11
"4904_7",0.53
"7110_7",0.74
"2086_4",0.45
"7372_7",0.51
"135_9",0.8
"7038_3",0.37
"1119_2",0.07
"5057_8",0.29
"3479_10",0.9
"6489_8",0.86
"4910_8",0.81
"5979_10",0.74
"11304_1",0.33
"2102_9",0.91
"8048_1",0.35
"12153_7",0.72
"4832_8",0.74
"3079_9",0.84
"8254_2",0.21
"7981_7",0.83
"611_1",0.39
"307_10",0.76
"8861_3",0.23
"4635_4",0.54
"6197_7",0.62
"6739_3",0.38
"8588_9",0.8
"8461_7",0.62
"10089_1",0.35
"2609_7",0.28
"1418_3",0.45
"2661_10",0.75
"1253_9",0.5
"8815_9",0.63
"9867_8",0.65
"2155_1",0.22
"12259_4",0.51
"11224_3",0.41
"4781_1",0.11
"4354_9",0.96
"9629_9",0.81
"3629_9",0.67
"6445_10",0.78
"9526_10",0.85
"5138_2",0.23
"349_10",0.64
"2099_7",0.39
"4411_1",0.39
"8127_3",0.16
"5225_8",0.86
"7970_3",0.35
"5688_7",0.37
"12099_3",0.36
"6020_4",0.45
"3892_8",0.48
"2098_8",0.84
"4851_7",0.87
"10967_10",0.64
"6230_4",0.59
"2211_2",0.06
"11978_10",0.59
"8802_1",0.13
"11010_3",0.36
"10083_2",0.52
"5588_10",0.6
"958_10",0.54
"6771_4",0.58
"6767_9",0.52
"7302_10",0.62
"5324_3",0.3
"7737_10",0.97
"8603_10",0.52
"3029_7",0.87
"8640_2",0.03
"2139_1",0.06
"6305_10",0.83
"6884_7",0.58
"5534_8",0.52
"7619_8",0.81
"10057_8",0.61
"972_7",0.68
"6245_8",0.55
"6627_7",0.82
"3621_10",0.4
"2290_4",0.8
"24_4",0.35
"5689_1",0.03
"6497_4",0.49
"12405_4",0.75
"11720_7",0.68
"10088_1",0.06
"9258_9",0.99
"354_4",0.7
"4770_10",0.63
"1035_3",0.67
"739_1",0.17
"6267_7",0.87
"1562_8",0.67
"1438_1",0.02
"281_8",0.85
"1818_1",0.56
"3943_3",0.24
"8116_4",0.6
"6984_1",0.3
"5330_4",0.06
"8821_8",0.88
"10484_10",0.77
"1886_4",0.32
"7943_2",0.17
"6438_7",0.86
"8931_10",0.61
"10538_10",0.34
"534_10",0.79
"7329_2",0.17
"6614_2",0.64
"710_10",0.58
"3120_4",0.53
"9046_1",0.17
"5638_2",0.24
"2455_4",0.39
"2652_3",0.35
"11006_4",0.83
"5065_3",0.06
"9805_10",0.73
"7092_8",0.92
"1735_10",0.58
"3609_1",0.24
"1201_10",0.77
"11024_9",0.91
"3807_10",0.69
"4483_10",0.42
"4510_7",0.91
"8037_1",0.38
"1760_1",0.23
"133_8",0.8
"9039_8",0.85
"8462_4",0.54
"2468_10",0.62
"7684_3",0.13
"10350_9",0.77
"1199_10",0.9
"8560_1",0.09
"6405_3",0.01
"1295_1",0.05
"6420_1",0.39
"12183_9",0.74
"11619_1",0.05
"1415_9",0.62
"9414_1",0.01
"7640_4",0.37
"9211_9",0.62
"557_9",0.61
"4501_9",0.77
"8711_10",0.5
"2402_1",0.56
"4586_10",0.36
"176_3",0.47
"3545_1",0.51
"8932_1",0.07
"5829_10",0.57
"3409_10",0.92
"3636_3",0.25
"12048_7",0.76
"10468_10",0.86
"11546_10",0.69
"9444_10",0.72
"6275_1",0.14
"152_4",0.52
"4767_9",0.57
"6751_1",0.04
"10245_4",0.19
"5407_8",0.81
"1923_1",0.47
"515_9",0.08
"9988_1",0.41
"5928_8",0.92
"10163_4",0.36
"7969_10",0.5
"1494_4",0.37
"11211_10",0.96
"1957_1",0.07
"8484_7",0.52
"848_2",0.18
"5177_1",0.22
"10667_10",0.78
"3075_1",0.38
"9443_10",0.51
"1572_8",0.67
"11285_8",0.45
"3125_1",0.54
"9265_9",0.82
"4072_1",0.25
"6390_2",0.31
"6496_4",0.75
"8766_2",0.2
"7787_10",0.64
"5897_10",0.88
"9027_1",0.45
"1538_2",0.14
"1220_3",0.04
"8600_3",0.12
"11432_2",0.43
"1424_4",0.45
"7344_10",0.87
"10842_1",0.31
"10332_10",0.88
"4340_4",0.17
"4868_4",0.42
"11216_9",0.64
"12027_10",0.49
"6785_7",0.72
"8773_8",0.87
"8119_4",0.66
"10138_10",0.76
"7197_2",0.5
"1536_3",0.14
"9981_7",0.74
"4753_1",0.36
"2795_7",0.02
"6672_4",0.19
"10805_7",0.78
"5866_1",0.29
"570_1",0.15
"11965_8",0.66
"3288_1",0.13
"8135_1",0.55
"10094_9",0.81
"5845_10",0.85
"3570_8",0.42
"1240_1",0.35
"231_1",0.5
"10628_9",0.86
"3536_1",0.03
"1852_10",0.58
"8202_7",0.39
"5907_7",0.64
"1759_10",0.81
"4492_10",0.62
"4844_7",0.54
"3189_10",0.51
"3403_10",0.79
"5874_2",0.12
"7809_10",0.73
"3632_9",0.8
"11767_2",0.64
"9925_3",0.54
"4218_1",0.65
"12036_7",0.72
"8973_2",0.25
"2464_10",0.9
"4094_1",0.11
"10592_1",0.06
"10648_9",0.57
"3887_10",0.77
"9092_8",0.86
"10666_10",0.85
"8389_10",0.38
"5281_10",0.8
"6946_1",0.12
"1132_1",0.05
"10052_4",0.2
"768_10",0.88
"5432_3",0.16
"7424_3",0.03
"2366_2",0.5
"2865_3",0.41
"7806_2",0.39
"8878_3",0.2
"6298_7",0.84
"4517_4",0.45
"12018_10",0.81
"3662_1",0.16
"11393_10",0.76
"2071_10",0.69
"8217_8",0.79
"6568_2",0.24
"3840_10",0.92
"1666_3",0.57
"2360_7",0.66
"5778_4",0.45
"5341_4",0.63
"4044_2",0.09
"2503_3",0.07
"4095_10",0.94
"2092_2",0.03
"2707_3",0.38
"573_10",0.41
"6441_7",0.64
"7565_3",0.24
"9499_7",0.54
"657_10",0.94
"8840_10",0.45
"1407_4",0.47
"12453_2",0.48
"8273_9",0.73
"8366_7",0.84
"10643_9",0.42
"9998_1",0.18
"1385_1",0.14
"1354_4",0.29
"4674_7",0.41
"3515_4",0.32
"10426_8",0.56
"10226_3",0.57
"10391_4",0.28
"9968_1",0.15
"2893_3",0.17
"2546_9",0.63
"37_1",0.11
"1757_10",0.91
"1569_8",0.96
"1466_3",0.27
"7783_1",0.07
"9506_10",0.59
"10835_3",0.18
"2917_9",0.73
"2495_7",0.95
"1686_10",0.86
"2414_7",0.32
"5318_8",0.46
"8858_8",0.6
"8112_1",0.1
"6532_2",0.45
"2526_10",0.82
"11089_7",0.7
"4297_8",0.69
"3179_9",0.78
"5832_10",0.72
"10539_8",0.49
"9226_10",0.62
"9878_1",0.32
"7940_10",0.84
"7195_10",0.67
"2979_1",0.48
"3597_10",0.88
"2931_8",0.6
"8571_10",0.36
"12148_1",0.0
"4047_2",0.12
"6164_10",0.75
"2214_8",0.84
"5903_1",0.33
"7931_9",0.46
"1205_3",0.26
"5983_10",0.93
"10424_7",0.62
"11032_7",0.8
"1303_10",0.89
"10390_1",0.14
"8349_2",0.32
"3605_8",0.68
"12273_1",0.12
"60_1",0.0
"3879_9",0.6
"12431_4",0.36
"4499_2",0.22
"5786_10",0.45
"5521_4",0.8
"793_8",0.77
"7948_3",0.13
"9022_2",0.43
"11071_1",0.26
"4991_3",0.43
"8226_1",0.15
"8762_3",0.61
"6918_4",0.55
"844_10",0.58
"11503_8",0.62
"7406_8",0.72
"7743_1",0.26
"514_3",0.16
"10927_9",0.67
"3731_7",0.85
"8870_4",0.43
"11099_10",0.55
"8456_10",0.59
"10944_7",0.32
"7168_3",0.41
"3378_10",0.63
"8203_3",0.63
"5676_1",0.22
"5061_9",0.83
"6238_8",0.36
"1136_8",0.27
"6234_3",0.67
"9510_3",0.64
"9632_7",0.43
"4357_1",0.16
"1176_9",0.8
"10821_8",0.87
"4143_4",0.23
"5074_8",0.66
"11673_1",0.28
"11072_2",0.1
"1816_4",0.66
"3974_7",0.49
"796_4",0.09
"8540_2",0.2
"10959_8",0.88
"4576_10",0.39
"7030_1",0.61
"3340_10",0.84
"3223_3",0.34
"3030_1",0.46
"4194_1",0.07
"11322_1",0.31
"1785_1",0.12
"7109_2",0.2
"4120_1",0.12
"3024_7",0.53
"589_2",0.31
"2480_10",0.5
"4878_1",0.33
"571_1",0.59
"12156_8",0.87
"7547_9",0.82
"6577_10",0.87
"7101_3",0.21
"1731_3",0.37
"10424_1",0.35
"9056_10",0.76
"11959_3",0.07
"6952_4",0.24
"8709_10",0.5
"4716_10",0.89
"2393_10",0.88
"4007_7",0.44
"1196_2",0.58
"8483_1",0.1
"1840_3",0.54
"6108_1",0.39
"4621_8",0.64
"11332_4",0.65
"8800_10",0.56
"886_7",0.74
"6495_8",0.52
"6193_10",0.44
"10297_1",0.26
"4233_1",0.42
"3121_10",0.89
"1681_10",0.66
"5789_1",0.02
"6446_10",0.71
"479_9",0.9
"6401_1",0.03
"7602_1",0.26
"10792_1",0.28
"11436_9",0.92
"6944_1",0.74
"6275_9",0.1
"7314_10",0.67
"8887_9",0.35
"1835_8",0.79
"8403_7",0.77
"2090_1",0.15
"12310_1",0.25
"9795_9",0.84
"4260_1",0.2
"3214_4",0.45
"10974_8",0.37
"3374_10",0.11
"2251_2",0.1
"2325_7",0.34
"28_9",0.75
"1758_2",0.42
"1222_8",0.32
"1229_4",0.23
"9791_2",0.19
"3433_4",0.12
"10847_10",0.86
"5020_2",0.07
"9652_3",0.15
"1739_10",0.75
"10441_4",0.52
"9002_7",0.58
"4304_8",0.78
"290_9",0.84
"1339_8",0.47
"10899_1",0.18
"8723_8",0.46
"12487_7",0.78
"10384_7",0.61
"4673_4",0.1
"11679_1",0.44
"3938_2",0.23
"2253_10",0.95
"198_7",0.9
"3346_3",0.51
"11543_3",0.25
"8463_1",0.07
"1297_2",0.02
"4689_1",0.0
"4681_1",0.07
"961_8",0.65
"9865_2",0.68
"770_3",0.46
"10495_2",0.16
"6302_8",0.81
"6232_4",0.51
"10098_1",0.24
"8905_2",0.16
"8853_10",0.5
"6081_10",0.89
"12_4",0.5
"1291_7",0.77
"1679_1",0.16
"996_7",0.75
"3343_10",0.84
"6083_10",0.97
"98_9",0.56
"962_4",0.22
"4857_8",0.91
"12394_7",0.76
"1321_10",0.94
"8994_10",0.69
"7788_1",0.11
"9708_8",0.48
"9523_1",0.55
"11785_4",0.29
"5440_1",0.37
"1091_7",0.79
"11584_10",0.97
"5369_3",0.51
"3165_10",0.53
"3686_10",0.86
"7069_10",0.3
"427_3",0.36
"895_8",0.6
"4565_8",0.76
"5139_9",0.75
"5027_1",0.25
"503_9",0.63
"7630_1",0.25
"8552_1",0.39
"4322_3",0.32
"3492_3",0.72
"5301_4",0.29
"752_4",0.51
"4307_2",0.02
"4901_10",0.69
"233_2",0.59
"10789_8",0.67
"270_8",0.92
"11442_1",0.48
"3688_7",0.64
"9928_7",0.54
"6563_8",0.76
"3437_7",0.63
"10495_8",0.82
"8775_10",0.94
"12172_3",0.28
"10085_10",0.69
"8394_9",0.61
"2607_10",0.83
"6645_10",0.9
"301_10",0.91
"2153_10",0.86
"1967_3",0.13
"9604_10",0.62
"10665_10",0.57
"5409_1",0.24
"6707_10",0.55
"3847_7",0.69
"9261_10",0.95
"3772_1",0.03
"8950_1",0.3
"6591_2",0.4
"2765_9",0.3
"4166_10",0.59
"11418_3",0.47
"7137_3",0.09
"3710_2",0.06
"1153_4",0.43
"4155_8",0.86
"9221_10",0.75
"8917_10",0.57
"6066_4",0.55
"5366_10",0.88
"2520_9",0.46
"11677_2",0.3
"4032_2",0.02
"4041_2",0.04
"474_4",0.31
"6392_2",0.46
"6545_10",0.55
"5009_10",0.42
"3060_10",0.59
"11033_10",0.82
"297_10",0.8
"9099_1",0.15
"10496_10",0.66
"5619_3",0.55
"4226_1",0.2
"10483_8",0.9
